distance,velocity,variation_velocity,risk
557.30,0.00,0.00,1
398.30,159.00,159.00,1
349.50,48.90,-110.10,1
301.30,48.10,-0.70,1
236.30,65.00,16.90,1
190.00,46.30,-18.70,1
147.30,42.80,-3.50,2
107.00,40.30,-2.50,2
77.50,29.50,-10.80,3
56.00,21.50,-8.10,3
47.10,8.90,-12.50,3
311.30,0.00,-8.90,1
256.10,55.10,55.10,1
131.10,125.10,69.90,2
55.80,75.20,-49.90,3
487.60,0.00,-75.20,1
305.50,182.10,182.10,1
266.40,39.10,-143.00,1
227.20,39.20,0.10,1
191.70,35.50,-3.70,1
144.90,46.80,11.30,2
109.80,35.00,-11.80,2
4.50,105.40,70.30,3
444.20,0.00,-105.40,1
391.40,52.90,52.90,1
290.20,101.20,48.30,1
232.00,58.20,-43.00,1
190.40,41.60,-16.60,1
147.10,43.40,1.80,1
95.70,51.40,8.00,2
63.80,31.90,-19.50,3
229.50,0.00,-31.90,1
157.70,71.70,71.70,2
102.70,55.00,-16.70,2
70.40,32.30,-22.70,3
19.90,50.50,18.20,3
443.20,0.00,-50.50,1
395.00,48.30,48.30,1
357.00,38.00,-10.30,1
308.70,48.30,10.30,1
199.10,109.60,61.30,1
155.40,43.70,-65.90,1
118.90,36.60,-7.10,2
153.50,-34.60,-71.20,2
119.90,33.60,68.20,2
96.90,23.00,-10.60,3
401.00,0.00,-23.00,1
352.50,48.50,48.50,1
307.90,44.60,-3.90,1
267.90,40.00,-4.60,1
226.50,41.40,1.40,1
167.10,59.40,18.00,2
125.40,41.70,-17.70,2
91.70,33.70,-8.00,3
97.40,-5.70,-39.40,2
4.60,92.80,98.50,3
328.50,0.00,-92.80,1
274.40,54.10,54.10,1
184.70,89.60,35.50,2
142.70,42.10,-47.50,2
4.60,138.10,96.00,3
366.20,0.00,-138.10,1
284.00,82.20,82.20,1
244.50,39.50,-42.60,1
204.20,40.30,0.80,1
124.90,79.30,39.00,2
100.90,23.90,-55.40,2
114.90,-13.90,-37.80,2
108.20,6.70,20.60,2
492.80,0.00,-6.70,1
428.50,64.40,64.40,1
236.70,191.80,127.40,1
195.70,41.00,-150.70,1
109.20,86.60,45.50,2
71.40,37.80,-48.80,3
86.20,-14.90,-52.60,3
506.20,0.00,14.90,1
415.00,91.20,91.20,1
381.00,34.00,-57.20,1
325.50,55.60,21.60,1
287.20,38.30,-17.30,1
161.20,126.00,87.80,1
133.60,27.60,-98.40,2
112.10,21.50,-6.10,2
4.90,107.20,85.80,3
364.70,0.00,-107.20,1
299.90,64.90,64.90,1
257.20,42.60,-22.30,1
218.10,39.20,-3.50,1
183.70,34.40,-4.80,1
120.40,63.30,28.90,2
84.90,35.50,-27.80,3
68.50,16.50,-19.00,3
5.00,63.50,47.00,3
331.10,0.00,-63.50,1
254.40,76.80,76.80,1
196.30,58.10,-18.70,1
121.20,75.10,17.00,2
3.80,117.40,42.40,3
409.00,0.00,-117.40,1
213.60,195.30,195.30,1
212.30,1.40,-194.00,1
108.90,103.40,102.10,2
110.00,-1.10,-104.50,2
105.60,4.30,5.50,2
66.70,38.90,34.60,3
3.80,62.90,24.00,3
300.40,0.00,-62.90,1
239.10,61.30,61.30,1
194.90,44.20,-17.10,1
98.00,96.90,52.70,2
3.70,94.40,-2.50,3
216.90,0.00,-94.40,1
184.00,32.90,32.90,1
125.40,58.60,25.70,2
92.70,32.80,-25.80,2
58.40,34.20,1.50,3
44.50,13.90,-20.30,3
393.00,0.00,-13.90,1
356.10,36.80,36.80,1
310.10,46.10,9.20,1
270.90,39.20,-6.80,1
200.00,70.80,31.60,1
165.20,34.80,-36.00,1
139.70,25.50,-9.30,2
106.60,33.10,7.60,2
154.40,-47.80,-80.90,1
457.30,0.00,47.80,1
409.10,48.20,48.20,1
344.20,64.90,16.70,1
291.80,52.40,-12.50,1
244.50,47.30,-5.10,1
197.10,47.50,0.20,1
154.50,42.60,-4.80,1
119.10,35.30,-7.30,2
81.90,37.20,1.90,2
56.10,25.80,-11.40,3
44.80,11.20,-14.60,3
269.90,0.00,-11.20,1
228.10,41.80,41.80,1
179.30,48.80,7.00,2
156.20,23.13,-25.70,2
133.60,22.60,-0.50,2
105.10,28.40,5.80,2
103.90,1.30,-27.20,2
98.00,5.90,4.70,2
464.60,0.00,-5.90,1
276.60,188.00,188.00,1
206.00,70.60,-117.40,1
128.70,77.30,6.70,2
106.30,22.40,-54.90,2
486.30,0.00,-22.40,1
374.90,111.50,111.50,1
338.10,36.70,-74.70,1
239.90,98.30,61.50,1
135.00,104.90,6.70,2
143.60,-8.60,-113.50,2
112.40,31.13,39.70,2
156.70,-44.20,-75.30,2
132.40,24.30,68.50,2
389.40,0.00,-24.30,1
247.90,141.50,141.50,1
200.70,47.10,-94.40,1
155.70,45.10,-2.10,2
122.60,33.10,-12.00,2
83.50,39.10,6.00,3
54.30,29.20,-9.90,3
370.20,0.00,-29.20,1
245.50,124.70,124.70,1
197.60,47.90,-76.80,1
135.40,62.20,14.30,2
97.20,38.20,-24.00,2
446.30,0.00,-38.20,1
402.60,43.70,43.70,1
347.90,54.70,11.00,1
308.30,39.60,-15.10,1
208.50,99.90,60.30,1
163.40,45.10,-54.80,1
118.30,45.10,0.00,2
50.10,68.20,23.20,3
472.90,0.00,-68.20,1
323.50,149.40,149.40,1
123.20,200.30,50.90,2
176.90,-53.70,-254.00,1
117.80,59.10,112.80,2
72.40,45.40,-13.70,3
50.10,22.30,-23.20,3
331.20,0.00,-22.30,1
241.50,89.70,89.70,1
195.10,46.40,-43.30,1
78.40,116.80,70.30,3
282.90,0.00,-116.80,1
218.70,64.20,64.20,1
134.10,84.60,20.40,2
3.80,130.40,45.70,3
126.60,0.00,-130.40,2
75.20,51.40,51.40,3
45.70,29.50,-21.90,3
509.40,0.00,-29.50,1
400.40,108.90,108.90,1
332.50,68.00,-40.90,1
258.00,74.50,6.50,1
167.20,90.80,16.30,1
157.60,9.70,-81.10,1
132.40,25.13,15.50,2
95.70,36.70,11.60,2
309.20,0.00,-36.70,1
243.50,65.70,65.70,1
163.50,80.00,14.20,1
108.60,54.90,-25.10,2
67.30,41.30,-13.60,3
46.50,20.80,-20.50,3
354.20,0.00,-20.80,1
234.90,119.30,119.30,1
146.70,88.20,-31.00,2
407.00,0.00,-88.20,1
213.20,193.90,193.90,1
166.20,47.00,-146.90,2
102.90,63.30,16.30,2
226.40,0.00,-63.30,1
142.20,84.20,84.20,2
94.60,47.60,-36.50,3
54.70,39.90,-7.70,3
140.30,-85.70,-125.60,2
68.80,71.50,157.20,3
440.10,0.00,-71.50,1
314.20,125.90,125.90,1
252.40,61.80,-64.00,1
116.50,135.90,74.10,2
132.20,-15.70,-151.60,2
98.20,34.00,49.70,3
261.60,0.00,-34.00,1
173.70,88.00,88.00,2
121.00,52.70,-35.30,2
81.40,39.50,-13.20,1
48.30,33.10,-6.40,1
353.20,0.00,-33.10,1
264.80,88.40,88.40,1
103.80,161.10,72.70,3
110.90,-7.20,-168.20,2
95.50,15.40,22.60,1
396.90,0.00,-15.40,1
226.50,170.30,170.30,1
170.90,55.60,-114.80,2
93.90,77.10,21.50,2
52.80,41.00,-36.00,3
175.20,0.00,-41.00,2
41.20,134.00,134.00,3
521.30,0.00,-134.00,1
339.80,181.50,181.50,1
286.20,53.60,-127.90,1
236.80,49.40,-4.20,1
100.80,136.00,86.60,3
121.90,-21.10,-157.10,2
107.60,14.30,35.40,2
429.70,0.00,-14.30,1
309.00,120.70,120.70,1
225.90,83.20,-37.60,1
78.20,147.60,64.50,3
45.30,33.00,-114.70,3
385.00,0.00,-33.00,1
194.40,190.70,190.70,3
107.00,87.30,-103.30,2
43.90,63.10,-24.20,3
222.90,0.00,-63.10,3
95.90,127.00,127.00,3
92.80,3.13,-123.90,2
273.20,0.00,-3.10,1
194.40,78.80,78.80,1
133.30,61.10,-17.80,2
96.00,37.40,-23.70,2
340.20,0.00,-37.40,1
121.00,219.20,219.20,3
66.40,54.60,-164.60,3
192.10,0.00,-54.60,2
118.00,74.10,74.10,2
66.30,51.70,-22.40,3
12.90,53.40,1.70,3
374.40,0.00,-53.40,1
312.90,61.50,61.50,1
256.20,56.70,-4.80,1
198.30,57.90,1.20,1
138.60,59.70,1.80,2
112.50,26.13,-33.60,2
146.90,-34.40,-60.50,2
322.90,0.00,34.40,3
254.40,68.50,68.50,3
194.90,59.50,-9.00,3
136.80,58.10,-1.40,2
91.00,45.80,-12.30,3
58.00,33.00,-12.80,3
26.90,31.20,-1.80,3
219.60,0.00,-31.20,1
131.60,88.00,88.00,1
108.00,23.60,-64.40,2
95.90,12.13,-11.40,2
423.30,0.00,-12.10,1
200.20,223.10,223.10,1
134.80,65.40,-157.70,2
85.30,49.50,-16.00,3
3.80,81.50,32.10,3
227.80,0.00,-81.50,1
153.10,74.80,74.80,2
80.40,72.60,-2.10,3
501.40,0.00,-72.60,1
437.30,64.20,64.20,1
226.80,210.50,146.30,1
98.00,128.80,-81.70,3
358.90,0.00,-128.80,1
269.90,89.10,89.10,1
211.20,58.60,-30.50,1
74.70,136.60,77.90,3
360.80,0.00,-136.60,1
263.10,97.70,97.70,1
190.40,72.70,-25.10,1
26.60,163.90,91.20,3
250.80,0.00,-163.90,1
191.50,59.40,59.40,1
93.40,98.10,38.70,2
107.80,-14.40,-112.50,2
3.70,104.20,118.60,3
200.50,0.00,-104.20,1
152.40,48.10,48.10,2
46.70,105.70,57.60,3
232.40,0.00,-105.70,1
72.20,160.10,160.10,3
16.80,55.50,-104.70,3
403.60,0.00,-55.50,1
362.00,41.60,41.60,1
146.30,215.70,174.10,2
99.50,46.80,-168.80,3
123.00,-23.50,-70.30,2
103.00,20.13,43.60,2
236.70,0.00,-20.10,1
183.80,52.80,52.80,2
294.20,0.00,-52.80,1
228.30,65.80,65.80,1
172.60,55.80,-10.10,2
118.80,53.70,-2.00,2
75.30,43.60,-10.20,3
47.20,28.13,-15.50,3
250.00,0.00,-28.10,1
55.70,194.30,194.30,3
280.80,0.00,-194.30,1
240.10,40.70,40.70,1
195.30,44.80,4.13,1
276.90,-81.50,-126.30,1
51.20,225.70,307.20,3
245.00,0.00,-225.70,1
185.40,59.60,59.60,1
101.70,83.70,24.20,2
196.80,-95.20,-178.90,1
144.90,51.90,147.10,2
95.60,49.30,-2.60,3
54.60,41.00,-8.30,3
5.40,49.20,8.20,3
312.00,0.00,-49.20,1
252.20,59.80,59.80,1
121.30,130.90,71.10,3
73.80,47.50,-83.40,3
463.00,0.00,-47.50,1
417.40,45.70,45.70,1
375.70,41.70,-4.00,1
304.30,71.40,29.70,1
259.20,45.10,-26.30,1
218.70,40.50,-4.60,1
196.80,21.90,-18.60,1
158.10,38.70,16.80,2
133.40,24.70,-14.10,2
107.60,25.80,1.13,2
88.50,19.13,-6.70,3
69.50,19.00,-0.20,3
56.90,12.60,-6.30,3
41.60,15.30,2.70,3
39.20,2.30,-13.00,3
112.90,-73.70,-76.00,1
344.00,0.00,73.70,1
275.50,68.50,68.50,1
225.20,50.20,-18.30,1
180.20,45.00,-5.20,2
119.00,61.30,16.30,2
89.70,29.30,-32.00,3
68.50,21.20,-8.10,3
48.10,20.40,-0.80,3
128.90,-80.80,-101.10,1
107.60,21.30,102.00,2
88.50,19.13,-2.10,3
268.40,0.00,-19.10,1
190.30,78.10,78.10,1
192.60,-2.30,-80.30,1
116.80,75.80,78.00,2
117.00,-0.20,-75.90,1
106.30,10.70,10.80,1
78.20,28.13,17.50,3
433.60,0.00,-28.10,1
367.80,65.80,65.80,1
273.60,94.20,28.40,1
287.00,-13.40,-107.60,1
119.40,167.60,181.00,3
165.80,-46.40,-214.00,1
123.50,42.30,88.70,2
84.80,38.70,-3.60,3
70.00,14.80,-23.90,3
91.40,-21.30,-36.10,2
75.00,16.40,37.70,3
203.10,0.00,-16.40,1
136.60,66.50,66.50,2
113.80,22.80,-43.80,2
90.20,23.60,0.90,3
443.10,0.00,-23.60,1
387.10,56.00,56.00,1
305.00,82.20,26.20,1
123.80,181.20,99.10,3
208.50,-84.70,-265.90,1
184.30,24.20,108.80,1
152.40,31.90,7.80,2
127.50,24.90,-7.00,2
